phenotype_name	source	concept_id	value_field	plausible_min	plausible_max	expected_completeness	approx_snp_h2	notes
height	measurement	3036277		100	250	high	~0.5	Already in docs/phenotype_list.tsv. Range in cm. Classic highly polygenic trait -- SNP-h2 ~40-50% (Yengo et al. 2022), twin h2 ~80%. General-population literature estimate, not AoU-specific.
weight	measurement	3025315		20	300	high	~0.25	Already in docs/phenotype_list.tsv. Range in kg. SNP-h2 for weight alone is modest (~20-25%) -- bmi below captures the more commonly studied ratio trait. General-population estimate.
bmi	measurement	3038553		10	100	high	~0.25	"Already in docs/phenotype_list.tsv. Range in kg/m^2. SNP-h2 ~25-27% (Yengo et al. 2018 GIANT+UKB); twin h2 much higher (~40-70%) -- the gap is itself a well-studied phenomenon (""missing heritability""). General-population estimate."
systolic_bp	measurement	3004249		60	260	high	~0.2	Already in docs/phenotype_list.tsv. Range in mmHg. SNP-h2 ~15-20%, single-visit BP is noisy (no averaging across visits here) -- expect attenuated heritability relative to studies using multi-visit means. General-population estimate.
diastolic_bp	measurement	3012888		30	150	high	~0.2	Already in docs/phenotype_list.tsv. Range in mmHg. Same single-visit-noise caveat as systolic_bp. General-population estimate.
glucose	measurement	3004501		20	600	high	~0.15	Already in docs/phenotype_list.tsv. Range in mg/dL. pull_phenotype() doesn't distinguish fasting vs. random draws (see README) -- adds measurement noise, likely deflates apparent heritability relative to a fasting-restricted phenotype. General-population estimate.
hba1c	measurement	3004410		3	20	high	~0.3	Already in docs/phenotype_list.tsv. Range in % (NGSP). Integrates ~3 months of glycemic control -- less draw-timing-sensitive than glucose, generally a cleaner quantitative trait for that reason. General-population estimate.
hdl_cholesterol	measurement	3007070		5	150	high	~0.2	Cholesterol in HDL [Mass/volume] in Serum or Plasma, LOINC 2085-9, confirmed via CDR query (concept_relationship 'Maps to', domain=Measurement, standard=S): n=198,313 persons. Range in mg/dL.
ldl_cholesterol	measurement	3028288		10	400	high	~0.12	Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation, LOINC 13457-7, confirmed via CDR query: n=153,909 persons. Range in mg/dL.
triglycerides	measurement	3022192		10	3000	high	~0.2	Triglyceride [Mass/volume] in Serum or Plasma, LOINC 2571-8, confirmed via CDR query: n=198,673 persons. Range in mg/dL.
waist_circumference	measurement	3016258		40	250	VERY LOW (confirmed n=22 persons via CDR query -- see notes)	~0.3	LOINC 8280-0, concept_id 3016258 -- confirmed correct/standard (domain=Measurement, standard=S) but essentially unusable: CDR query found only 22 persons (32 rows) total. AoU's Physical Measurements module apparently doesn't populate this LOINC in practice, despite it being the semantically correct standard concept. NOT viable as a high-completeness phenotype -- recommend dropping waist_circumference/hip_circumference/waist_hip_ratio from the active panel unless a materially different source for waist circumference turns up. Range in cm.
